,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_base_estimator__reg_lambda,param_base_estimator__num_iterations,param_base_estimator__max_depth,param_base_estimator__feature_fraction,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,split6_test_score,split7_test_score,split8_test_score,split9_test_score,mean_test_score,std_test_score,rank_test_score
26,1.5161420583724976,0.4101652699930616,0.06263172626495361,0.007230124977269684,104.81131341546853,400,9,1,"{'base_estimator__reg_lambda': 104.81131341546853, 'base_estimator__num_iterations': 400, 'base_estimator__max_depth': 9, 'base_estimator__feature_fraction': 1}",-0.5349380451805616,-0.5251634609741485,-0.4726554327239424,-0.47301017955873725,-0.4907128514532012,-0.48767723574542093,-0.446844162068721,-0.490223867540189,-0.4744342805384473,-0.5358602894835957,-0.4931519805266965,0.028213246395305105,1
48,0.5025552749633789,0.07635911664080339,0.04976873397827149,0.004580779444468626,33.9322177189533,100,7,1,"{'base_estimator__reg_lambda': 33.9322177189533, 'base_estimator__num_iterations': 100, 'base_estimator__max_depth': 7, 'base_estimator__feature_fraction': 1}",-0.5347680058439416,-0.529164541811922,-0.4722096428132477,-0.4717502971031814,-0.499766269989885,-0.4898831468952366,-0.4501019758150212,-0.49108319121663724,-0.4840774841329525,-0.5260911701540273,-0.4948895725776052,0.02640941693002974,2
11,1.2682092666625977,0.07787459223548376,0.06143386363983154,0.007274480188380794,104.81131341546853,400,7,0.5,"{'base_estimator__reg_lambda': 104.81131341546853, 'base_estimator__num_iterations': 400, 'base_estimator__max_depth': 7, 'base_estimator__feature_fraction': 0.5}",-0.5414392341065056,-0.5244165561530928,-0.4710701751188312,-0.4775590717988106,-0.4946005452466471,-0.48414010842657795,-0.4487409961692183,-0.49683040899109565,-0.476175075463334,-0.5340140427811673,-0.4948986214255281,0.028348671783762755,3
28,0.3130621433258057,0.006346551053404454,0.053756308555603025,0.0019674110690485695,0.012648552168552958,100,2,1,"{'base_estimator__reg_lambda': 0.012648552168552958, 'base_estimator__num_iterations': 100, 'base_estimator__max_depth': 2, 'base_estimator__feature_fraction': 1}",-0.5483934292700706,-0.5192028252627116,-0.4829142309382172,-0.47383486532550334,-0.4986555094999903,-0.4758572822126116,-0.43422849038029715,-0.5049394226285997,-0.4915902969684276,-0.5198654074223348,-0.49494817599087637,0.029719230105980838,4
22,0.7524871826171875,0.03874316963225246,0.055452275276184085,0.0021484224475784475,33.9322177189533,200,9,1,"{'base_estimator__reg_lambda': 33.9322177189533, 'base_estimator__num_iterations': 200, 'base_estimator__max_depth': 9, 'base_estimator__feature_fraction': 1}",-0.5352636828179681,-0.526095367655078,-0.47365521956946477,-0.47642984999783095,-0.4912224794620266,-0.488732531672645,-0.4524201469218002,-0.49284162405364584,-0.4783349234422648,-0.5362594791801534,-0.49512553047728786,0.026906692999740276,5
37,0.43044755458831785,0.018063804649817747,0.05166237354278565,0.00475838446450886,0.21209508879201905,200,2,1,"{'base_estimator__reg_lambda': 0.21209508879201905, 'base_estimator__num_iterations': 200, 'base_estimator__max_depth': 2, 'base_estimator__feature_fraction': 1}",-0.5447493119960132,-0.5276200666638879,-0.4811750848902959,-0.47478196373346826,-0.4866891567897878,-0.4775473763353917,-0.4287369678614824,-0.5045130951748578,-0.5002986669279235,-0.5252932028754811,-0.495140489324859,0.031526923884676566,6
45,0.5027554988861084,0.027274449767902973,0.05405547618865967,0.0021299064308096757,8.286427728546842,100,7,0.5,"{'base_estimator__reg_lambda': 8.286427728546842, 'base_estimator__num_iterations': 100, 'base_estimator__max_depth': 7, 'base_estimator__feature_fraction': 0.5}",-0.5504850568735034,-0.5338759267214422,-0.4765604615506138,-0.47936740388180954,-0.49333723966239945,-0.47918991177703907,-0.44055095275172257,-0.4977443023755505,-0.48439073260016074,-0.5178867750449647,-0.49533887632392065,0.03005742855393718,7
58,1.0760216474533082,0.08704376814767237,0.07001295089721679,0.016495570940547176,244.205309454865,400,3,0.5,"{'base_estimator__reg_lambda': 244.205309454865, 'base_estimator__num_iterations': 400, 'base_estimator__max_depth': 3, 'base_estimator__feature_fraction': 0.5}",-0.537572663109016,-0.5213355697731152,-0.4774888118238659,-0.46874180589180714,-0.5194771076762063,-0.48385228500839217,-0.45766087013865897,-0.4922106774218169,-0.4858349364586907,-0.5228292138132022,-0.4967003941114772,0.02541076497754361,8
21,0.5562119007110595,0.017645134813535752,0.054454708099365236,0.0017957476535152934,25.595479226995334,200,3,0.25,"{'base_estimator__reg_lambda': 25.595479226995334, 'base_estimator__num_iterations': 200, 'base_estimator__max_depth': 3, 'base_estimator__feature_fraction': 0.25}",-0.5616489898021908,-0.5155940785157211,-0.47449050510306856,-0.49013193308269587,-0.49159938681029286,-0.47268300684263204,-0.46020308224237,-0.5096873986902666,-0.4789832960330166,-0.5166250649932448,-0.49716467421155,0.02814963407378417,9
10,1.301618266105652,0.05522859190031402,0.05734720230102539,0.0014274824506429037,59.636233165946365,400,9,0.5,"{'base_estimator__reg_lambda': 59.636233165946365, 'base_estimator__num_iterations': 400, 'base_estimator__max_depth': 9, 'base_estimator__feature_fraction': 0.5}",-0.5460938545690233,-0.5257808008528646,-0.4712072287456424,-0.4854448080316356,-0.48704894366175333,-0.487320781253036,-0.448073233049624,-0.5036537932644769,-0.4829155981960974,-0.5353279284427861,-0.4972866970066939,0.02886991751383437,10
3,0.6349011659622192,0.029237674849435267,0.05375676155090332,0.002016718338941873,184.20699693267164,200,9,1,"{'base_estimator__reg_lambda': 184.20699693267164, 'base_estimator__num_iterations': 200, 'base_estimator__max_depth': 9, 'base_estimator__feature_fraction': 1}",-0.5216131805709295,-0.5255552788278305,-0.47913136749915586,-0.4720042022321991,-0.5259322987584283,-0.4854718929106113,-0.4605680196854972,-0.48681741292146796,-0.49888363155795734,-0.5177866842341168,-0.4973763969198194,0.02280451169591982,11
24,1.0105968236923217,0.07814298890842622,0.05784530639648437,0.0016090818778965873,184.20699693267164,400,8,0.25,"{'base_estimator__reg_lambda': 184.20699693267164, 'base_estimator__num_iterations': 400, 'base_estimator__max_depth': 8, 'base_estimator__feature_fraction': 0.25}",-0.545046629136236,-0.5146290786800518,-0.4820181730181042,-0.48112925726900235,-0.5091569965003357,-0.4662480381488239,-0.46371031923773937,-0.5091989465211755,-0.4922845307743122,-0.515937392593811,-0.49793593618795917,0.024120929059403478,12
53,0.6231336832046509,0.048049652572996565,0.05395541191101074,0.0012179704399117761,19.306977288832496,200,4,0.25,"{'base_estimator__reg_lambda': 19.306977288832496, 'base_estimator__num_iterations': 200, 'base_estimator__max_depth': 4, 'base_estimator__feature_fraction': 0.25}",-0.5653545158878959,-0.5226651084344311,-0.4725817477295505,-0.4935913828204427,-0.4891858721424013,-0.470365046072887,-0.46210643908814114,-0.5116721493574813,-0.4845945900889534,-0.5183066998420985,-0.4990423551464283,0.029509962353030765,13
