,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_logistic_regression__C,param_logistic_regression__l1_ratio,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,split6_test_score,split7_test_score,split8_test_score,split9_test_score,mean_test_score,std_test_score,rank_test_score
42,0.28872764110565186,0.020209950089540508,0.09026124477386474,0.004461910053498895,0.3593813663804626,0.2222222222222222,"{'logistic_regression__C': 0.3593813663804626, 'logistic_regression__l1_ratio': 0.2222222222222222}",-0.5764243417915539,-0.49254145244652464,-0.4860944619464339,-0.5088254639948324,-0.4852087961131667,-0.49632403924788954,-0.4468527756884256,-0.47287459966410283,-0.49750459315898227,-0.5480173482103842,-0.5010667872262295,0.035015400016339106,1
43,0.2962039947509766,0.016930117546406467,0.09614388942718506,0.016522315928193535,0.3593813663804626,0.3333333333333333,"{'logistic_regression__C': 0.3593813663804626, 'logistic_regression__l1_ratio': 0.3333333333333333}",-0.5764564765664677,-0.493421904002666,-0.483218317582265,-0.5075754127519325,-0.4882231998387647,-0.4955946136610444,-0.4467227172213143,-0.4740897763219133,-0.4972863771914744,-0.5486451365114895,-0.5011233931649332,0.03500982409858794,2
49,0.24414582252502443,0.02516599764317849,0.09604437351226806,0.005969069857899624,0.3593813663804626,1.0,"{'logistic_regression__C': 0.3593813663804626, 'logistic_regression__l1_ratio': 1.0}",-0.5703597291701549,-0.4920940464425231,-0.4834324535305144,-0.49917231011036567,-0.5055689120964487,-0.48806560415820144,-0.4481145466928574,-0.48152667959405804,-0.4958091666839538,-0.5476582466175818,-0.5011801695096659,0.03281754748409325,3
41,0.29441304206848146,0.01067552854591751,0.08975987434387207,0.006881061769077131,0.3593813663804626,0.1111111111111111,"{'logistic_regression__C': 0.3593813663804626, 'logistic_regression__l1_ratio': 0.1111111111111111}",-0.5767634855415935,-0.4925385499332718,-0.48845652843480697,-0.5100093304701367,-0.4833552912233886,-0.4969467954209897,-0.44691693805104904,-0.47245464545734644,-0.4986902123958513,-0.5475906399502032,-0.5013722416878638,0.03506055458058876,4
44,0.2798538446426392,0.01563841024509196,0.0869675636291504,0.00714699232027252,0.3593813663804626,0.4444444444444444,"{'logistic_regression__C': 0.3593813663804626, 'logistic_regression__l1_ratio': 0.4444444444444444}",-0.5766876661847319,-0.4943357275392196,-0.481789389743312,-0.5065029082911036,-0.4916770079845561,-0.4946161458564638,-0.4468110547418636,-0.47557007808730656,-0.4973265393609486,-0.5492178537696291,-0.5014534371559135,0.034956485892050006,5
48,0.27476584911346436,0.0313934785869265,0.10192768573760987,0.010656287710691617,0.3593813663804626,0.8888888888888888,"{'logistic_regression__C': 0.3593813663804626, 'logistic_regression__l1_ratio': 0.8888888888888888}",-0.5710727771939957,-0.49254774665147616,-0.48323345206309226,-0.5015316855379149,-0.5045261165715798,-0.4894494279155267,-0.44849621951541946,-0.4806803665508217,-0.4956902975492813,-0.5491064328497087,-0.5016334522398818,0.03309283984780731,6
40,0.26838126182556155,0.01140279123437106,0.09015989303588867,0.005374490900299,0.3593813663804626,0.0,"{'logistic_regression__C': 0.3593813663804626, 'logistic_regression__l1_ratio': 0.0}",-0.5773945959876867,-0.49320227300546693,-0.49099595974157684,-0.5109401388369899,-0.4820034869220894,-0.49701794028563767,-0.4470786689348973,-0.4723576210801267,-0.4990240547198314,-0.5477439870932823,-0.5017758726607585,0.03518995744807596,7
45,0.31735169887542725,0.06697873324286674,0.10651707649230957,0.015241168593544109,0.3593813663804626,0.5555555555555556,"{'logistic_regression__C': 0.3593813663804626, 'logistic_regression__l1_ratio': 0.5555555555555556}",-0.5763355855058581,-0.49370899149408914,-0.48184106874666455,-0.5057690603813133,-0.49566968406345085,-0.4937674119858074,-0.4473863224829131,-0.47747834132911626,-0.4968127284007622,-0.5494089204755859,-0.501817811486556,0.034613731295424555,8
30,0.20345761775970458,0.006924168925670775,0.09694163799285889,0.008748113197878367,0.046415888336127774,0.0,"{'logistic_regression__C': 0.046415888336127774, 'logistic_regression__l1_ratio': 0.0}",-0.549795983128194,-0.5034054316068939,-0.4860469512955457,-0.508255927130732,-0.5061674056634615,-0.5052852283107947,-0.4535949530547412,-0.48280496383488486,-0.49713150109157367,-0.5275029785686399,-0.5019991323685461,0.02448229931309696,9
47,0.26828229427337646,0.02498894348175912,0.09883849620819092,0.004494268670965677,0.3593813663804626,0.7777777777777777,"{'logistic_regression__C': 0.3593813663804626, 'logistic_regression__l1_ratio': 0.7777777777777777}",-0.5722128449772323,-0.49283305269005223,-0.4830591884856695,-0.5036656885440699,-0.502840731544284,-0.4907682276947433,-0.44880940625139304,-0.48004076929410006,-0.4959926269880125,-0.5498382845088958,-0.5020060820978454,0.033374094178626794,10
