,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_base_estimator__reg_lambda,param_base_estimator__num_iterations,param_base_estimator__max_depth,param_base_estimator__learning_rate,param_base_estimator__feature_fraction,param_base_estimator__bagging_freq,param_base_estimator__bagging_fraction,params,split0_test_neg_log_loss,split1_test_neg_log_loss,split2_test_neg_log_loss,split3_test_neg_log_loss,split4_test_neg_log_loss,split5_test_neg_log_loss,split6_test_neg_log_loss,split7_test_neg_log_loss,split8_test_neg_log_loss,split9_test_neg_log_loss,mean_test_neg_log_loss,std_test_neg_log_loss,rank_test_neg_log_loss,split0_test_roc_auc,split1_test_roc_auc,split2_test_roc_auc,split3_test_roc_auc,split4_test_roc_auc,split5_test_roc_auc,split6_test_roc_auc,split7_test_roc_auc,split8_test_roc_auc,split9_test_roc_auc,mean_test_roc_auc,std_test_roc_auc,rank_test_roc_auc
56,0.47522873878479005,0.01350767562309892,0.05405557155609131,0.00344970763495855,1.151395399326447,100,2,0.20716983998953076,0.5,10,1.0,"{'base_estimator__reg_lambda': 1.151395399326447, 'base_estimator__num_iterations': 100, 'base_estimator__max_depth': 2, 'base_estimator__learning_rate': 0.20716983998953076, 'base_estimator__feature_fraction': 0.5, 'base_estimator__bagging_freq': 10, 'base_estimator__bagging_fraction': 1.0}",-0.5582471014391899,-0.5185742545319237,-0.4775619657331047,-0.4977730516481221,-0.5222212373898628,-0.4894764220263344,-0.44749666579263037,-0.5001298095030693,-0.48730075528312317,-0.5229076422415934,-0.5021688905588954,0.028716351618884074,1,0.7217261904761905,0.7715773809523809,0.7983630952380952,0.8005952380952381,0.7596726190476191,0.793154761904762,0.8422619047619048,0.7857142857142857,0.7925247902364607,0.7574370709382151,0.7823027337365152,0.0305557242126942,1
63,2.7783682584762572,0.03378815436798134,0.057944750785827635,0.003975401805261999,19.306977288832496,400,4,0.08286427728546843,0.5,1,1.0,"{'base_estimator__reg_lambda': 19.306977288832496, 'base_estimator__num_iterations': 400, 'base_estimator__max_depth': 4, 'base_estimator__learning_rate': 0.08286427728546843, 'base_estimator__feature_fraction': 0.5, 'base_estimator__bagging_freq': 1, 'base_estimator__bagging_fraction': 1.0}",-0.5623183156484511,-0.5240302731965225,-0.4731470691514712,-0.49765745043318876,-0.5089295974540373,-0.49941125265209063,-0.45384638318904524,-0.4975182694801381,-0.4734154900139849,-0.5378795818911827,-0.5028153683110113,0.030767400771280148,2,0.7194940476190476,0.7611607142857143,0.8035714285714286,0.7924107142857143,0.7723214285714286,0.7700892857142858,0.8363095238095237,0.7827380952380952,0.8131197559115179,0.7299771167048055,0.7781192110711561,0.03409516505695442,5
47,1.5594289541244506,0.040668983734823916,0.05884265899658203,0.0022300523567588813,2.023589647725158,200,16,0.08891593339164641,0.25,5,1.0,"{'base_estimator__reg_lambda': 2.023589647725158, 'base_estimator__num_iterations': 200, 'base_estimator__max_depth': 16, 'base_estimator__learning_rate': 0.08891593339164641, 'base_estimator__feature_fraction': 0.25, 'base_estimator__bagging_freq': 5, 'base_estimator__bagging_fraction': 1.0}",-0.5743466497342622,-0.5195531860344375,-0.47517255506448813,-0.5073661560831495,-0.5111933150886341,-0.4764065468387059,-0.47078179417725796,-0.5030564973763756,-0.4904440970970298,-0.5102490882172516,-0.5038569885711592,0.028588452619770423,3,0.7098214285714286,0.7648809523809524,0.8020833333333334,0.7894345238095238,0.7782738095238095,0.8050595238095237,0.8236607142857143,0.7760416666666667,0.7726926010678871,0.7688787185354692,0.7790827271984309,0.029072072970058083,4
27,0.7248604536056519,0.009039853373106659,0.05864415168762207,0.0016564173403242747,0.0071968567300115215,100,4,0.12648552168552957,0.25,0,1.0,"{'base_estimator__reg_lambda': 0.0071968567300115215, 'base_estimator__num_iterations': 100, 'base_estimator__max_depth': 4, 'base_estimator__learning_rate': 0.12648552168552957, 'base_estimator__feature_fraction': 0.25, 'base_estimator__bagging_freq': 0, 'base_estimator__bagging_fraction': 1.0}",-0.5719713258437829,-0.5222423096410047,-0.4794048715079978,-0.5183701120283839,-0.5152626055729489,-0.4739575854464945,-0.47353690583296554,-0.4950968375319236,-0.49737823854149515,-0.5171183042899271,-0.5064339096236925,0.02820932700295933,4,0.7061011904761905,0.7633928571428572,0.8013392857142857,0.7738095238095238,0.7671130952380952,0.8139880952380952,0.8206845238095238,0.7864583333333334,0.7665903890160183,0.7589626239511824,0.7758439917729106,0.03114223281399028,8
54,1.782232666015625,0.053890921939458464,0.05894217491149902,0.0016357731154572927,0.21209508879201905,400,2,0.14563484775012436,1.0,1,1.0,"{'base_estimator__reg_lambda': 0.21209508879201905, 'base_estimator__num_iterations': 400, 'base_estimator__max_depth': 2, 'base_estimator__learning_rate': 0.14563484775012436, 'base_estimator__feature_fraction': 1.0, 'base_estimator__bagging_freq': 1, 'base_estimator__bagging_fraction': 1.0}",-0.5656426230452472,-0.5317282085585264,-0.48249481426633556,-0.4945439259038652,-0.5161460549787124,-0.5016190121999852,-0.4491956859649603,-0.5052235586746943,-0.4895704214568887,-0.5376208375548559,-0.507378514260407,0.03082724838903084,5,0.7269345238095238,0.7380952380952381,0.8050595238095238,0.8058035714285714,0.7775297619047619,0.7730654761904762,0.8526785714285714,0.7842261904761905,0.7864225781845918,0.7414187643020594,0.7791234199629509,0.03569602264412798,2
18,1.4378538370132445,0.031992839779919686,0.058643460273742676,0.0019331848309211586,79.06043210907701,200,8,0.17992936232915524,1.0,0,1.0,"{'base_estimator__reg_lambda': 79.06043210907701, 'base_estimator__num_iterations': 200, 'base_estimator__max_depth': 8, 'base_estimator__learning_rate': 0.17992936232915524, 'base_estimator__feature_fraction': 1.0, 'base_estimator__bagging_freq': 0, 'base_estimator__bagging_fraction': 1.0}",-0.5485581114874449,-0.5139683319901135,-0.48491073916338606,-0.5071508543379725,-0.5272552808970491,-0.49964532647233373,-0.4719061640200139,-0.5124033820245126,-0.4801773976655645,-0.5282437214103572,-0.5074219309468748,0.022710573327393856,6,0.734375,0.7686011904761905,0.7886904761904763,0.7805059523809523,0.7559523809523809,0.7745535714285715,0.8139880952380952,0.775297619047619,0.8001525553012968,0.7444698703279939,0.7736586711343578,0.02310627512219668,10
15,1.5713963031768798,0.03676124982990996,0.059940242767333986,0.0012966382191150643,2.023589647725158,200,8,0.23853440064314188,0.25,1,1.0,"{'base_estimator__reg_lambda': 2.023589647725158, 'base_estimator__num_iterations': 200, 'base_estimator__max_depth': 8, 'base_estimator__learning_rate': 0.23853440064314188, 'base_estimator__feature_fraction': 0.25, 'base_estimator__bagging_freq': 1, 'base_estimator__bagging_fraction': 1.0}",-0.5722409845907768,-0.5259241987403729,-0.48388827824750036,-0.5011517256274994,-0.5070999874566959,-0.4732412813316187,-0.4765120200252949,-0.49521638659952993,-0.5004182669419606,-0.5387136499082091,-0.5074406779469459,0.029048286946377375,7,0.7083333333333334,0.7559523809523809,0.8028273809523809,0.7894345238095238,0.7797619047619048,0.8177083333333333,0.8355654761904762,0.7946428571428572,0.7589626239511823,0.7246376811594203,0.7767826495586794,0.03801638233068935,6
29,2.9493106603622437,0.1153104173450464,0.06133606433868408,0.000804378879435237,1.5264179671752334,400,4,0.025001103826179306,0.25,1,1.0,"{'base_estimator__reg_lambda': 1.5264179671752334, 'base_estimator__num_iterations': 400, 'base_estimator__max_depth': 4, 'base_estimator__learning_rate': 0.025001103826179306, 'base_estimator__feature_fraction': 0.25, 'base_estimator__bagging_freq': 1, 'base_estimator__bagging_fraction': 1.0}",-0.5653476690927094,-0.5196597496353086,-0.49143020934799464,-0.5237514584520769,-0.5211836887501127,-0.46613712922822864,-0.47479531061295555,-0.5075382285728036,-0.49493106744444954,-0.5126643692222626,-0.5077438880358902,0.02677376131775331,8,0.7113095238095237,0.7686011904761905,0.7827380952380952,0.7715773809523809,0.765625,0.8184523809523809,0.8162202380952381,0.7663690476190477,0.7749809305873379,0.7627765064836003,0.7738650294213796,0.028381592517081257,9
51,1.756003212928772,0.014657923936699376,0.05934085845947266,0.0019574794550086135,0.3727593720314938,400,2,0.16768329368110083,1.0,1,1.0,"{'base_estimator__reg_lambda': 0.3727593720314938, 'base_estimator__num_iterations': 400, 'base_estimator__max_depth': 2, 'base_estimator__learning_rate': 0.16768329368110083, 'base_estimator__feature_fraction': 1.0, 'base_estimator__bagging_freq': 1, 'base_estimator__bagging_fraction': 1.0}",-0.5674342259339122,-0.5345687130507545,-0.4817588527055965,-0.4970293326543298,-0.515920281458904,-0.5010668896628513,-0.45159103597039973,-0.504395189589604,-0.48873037546762577,-0.5364906120191846,-0.5078985508513162,0.030880369688111354,9,0.728422619047619,0.7395833333333334,0.8080357142857142,0.8020833333333333,0.7730654761904762,0.7730654761904763,0.8571428571428572,0.7827380952380952,0.7879481311975591,0.7391304347826086,0.7791215470742073,0.03653474815400063,3
43,0.8829377889633179,0.01216662706350075,0.05944151878356933,0.003629359480008762,0.022229964825261943,200,2,0.06250551925273973,0.5,1,1.0,"{'base_estimator__reg_lambda': 0.022229964825261943, 'base_estimator__num_iterations': 200, 'base_estimator__max_depth': 2, 'base_estimator__learning_rate': 0.06250551925273973, 'base_estimator__feature_fraction': 0.5, 'base_estimator__bagging_freq': 1, 'base_estimator__bagging_fraction': 1.0}",-0.5454962317680074,-0.528159161179126,-0.49393207035503395,-0.4940185644189247,-0.5369493099245134,-0.4885520315231421,-0.46649458024427426,-0.5087726405877613,-0.4967096430788665,-0.5220198471981867,-0.5081104080277836,0.02338639690664194,10,0.7336309523809524,0.7626488095238095,0.7827380952380952,0.7976190476190477,0.7418154761904763,0.7924107142857143,0.8214285714285716,0.771577380952381,0.7726926010678872,0.7528604118993135,0.7729422060586248,0.025417045246621087,11
