,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_logistic_regression__C,param_logistic_regression__l1_ratio,params,split0_test_neg_log_loss,split1_test_neg_log_loss,split2_test_neg_log_loss,split3_test_neg_log_loss,split4_test_neg_log_loss,split5_test_neg_log_loss,split6_test_neg_log_loss,split7_test_neg_log_loss,split8_test_neg_log_loss,split9_test_neg_log_loss,mean_test_neg_log_loss,std_test_neg_log_loss,rank_test_neg_log_loss,split0_test_roc_auc,split1_test_roc_auc,split2_test_roc_auc,split3_test_roc_auc,split4_test_roc_auc,split5_test_roc_auc,split6_test_roc_auc,split7_test_roc_auc,split8_test_roc_auc,split9_test_roc_auc,mean_test_roc_auc,std_test_roc_auc,rank_test_roc_auc
42,0.31047258377075193,0.013539339852172873,0.18420517444610596,0.006420876166325022,0.3593813663804626,0.2222222222222222,"{'logistic_regression__C': 0.3593813663804626, 'logistic_regression__l1_ratio': 0.2222222222222222}",-0.584263633137421,-0.493601625809364,-0.4864483107810959,-0.5077476809683068,-0.4806533518861241,-0.4905003001786453,-0.44103158082517513,-0.47590790549305345,-0.4883724422142189,-0.545421364658781,-0.4993948195952186,0.037552433349685214,1,0.6845238095238095,0.7946428571428572,0.7909226190476191,0.7827380952380952,0.7924107142857143,0.7916666666666666,0.8385416666666667,0.8013392857142857,0.7757437070938216,0.7330282227307399,0.7785557644110277,0.03979089280402693,5
43,0.3108691215515137,0.011891612107159267,0.18221278190612794,0.005085986267721386,0.3593813663804626,0.3333333333333333,"{'logistic_regression__C': 0.3593813663804626, 'logistic_regression__l1_ratio': 0.3333333333333333}",-0.5843642592020554,-0.4945519265699542,-0.4828164026675674,-0.5068532876664728,-0.48321228753505074,-0.48988368230556195,-0.44102159316888034,-0.47695402351221955,-0.48845116855709814,-0.5461559333857637,-0.4994264564570624,0.037607773338097984,2,0.6830357142857143,0.7953869047619048,0.793154761904762,0.7819940476190477,0.7901785714285715,0.7961309523809523,0.8377976190476191,0.8005952380952381,0.7772692601067887,0.7330282227307399,0.7788571292361339,0.040181010855995465,4
44,0.3020925760269165,0.02094554069497916,0.1877986192703247,0.01235107089759784,0.3593813663804626,0.4444444444444444,"{'logistic_regression__C': 0.3593813663804626, 'logistic_regression__l1_ratio': 0.4444444444444444}",-0.584598116041683,-0.49456161169205587,-0.48108646757113166,-0.5060755391089473,-0.4868034293239633,-0.489002400194393,-0.4412969224967166,-0.47850709148471904,-0.4890947178443049,-0.5463640107890102,-0.4997390306546925,0.03748601061574008,3,0.6778273809523809,0.7953869047619048,0.7961309523809523,0.7827380952380952,0.7879464285714286,0.796875,0.8377976190476191,0.7946428571428572,0.776506483600305,0.7345537757437071,0.7780405497439251,0.04109229197708467,10
41,0.32393321990966795,0.018285169981273424,0.18740012645721435,0.008914006063384404,0.3593813663804626,0.1111111111111111,"{'logistic_regression__C': 0.3593813663804626, 'logistic_regression__l1_ratio': 0.1111111111111111}",-0.5851215304993849,-0.4943724779100361,-0.4895183586936781,-0.5084472998952858,-0.47888571606075,-0.4915483514639837,-0.441539507942266,-0.47562806072587466,-0.48923737712130855,-0.5449063038162677,-0.4999204984128835,0.037576291079519826,4,0.6845238095238095,0.7953869047619048,0.7879464285714285,0.7819940476190476,0.7976190476190477,0.7916666666666666,0.8430059523809524,0.8028273809523809,0.7734553775743707,0.7360793287566744,0.7794504944426284,0.04040519883284507,3
45,0.3163550853729248,0.03024928891107522,0.19258613586425782,0.020849808175161393,0.3593813663804626,0.5555555555555556,"{'logistic_regression__C': 0.3593813663804626, 'logistic_regression__l1_ratio': 0.5555555555555556}",-0.5827176419993977,-0.4938739875275374,-0.48066868415628006,-0.5054700065296454,-0.49081956412325073,-0.4878810015680628,-0.44206187510341904,-0.4804832281828416,-0.48883263881137007,-0.5468030626312763,-0.4999611690633081,0.03683403296433965,5,0.6755952380952381,0.7931547619047619,0.7924107142857142,0.7842261904761905,0.7797619047619048,0.7976190476190477,0.8377976190476191,0.7938988095238095,0.776506483600305,0.7337909992372236,0.7764761768551816,0.04136764544792317,28
49,0.27247211933135984,0.028880224901573676,0.19019064903259278,0.00940956176436915,0.3593813663804626,1.0,"{'logistic_regression__C': 0.3593813663804626, 'logistic_regression__l1_ratio': 1.0}",-0.5780307704472909,-0.4935880019696377,-0.48086990689658754,-0.5004802829254896,-0.5008637959082386,-0.48317567549535034,-0.44418412645087696,-0.4883127720480035,-0.48983582064384573,-0.5438461521827822,-0.5003187304968103,0.03472274870565288,6,0.6688988095238095,0.7909226190476191,0.7938988095238095,0.7901785714285714,0.7700892857142857,0.800595238095238,0.8370535714285714,0.7857142857142857,0.7765064836003052,0.729214340198322,0.7743072014274817,0.04340163114547434,63
48,0.2893268346786499,0.03143527256378398,0.18500630855560302,0.013559438337983233,0.3593813663804626,0.8888888888888888,"{'logistic_regression__C': 0.3593813663804626, 'logistic_regression__l1_ratio': 0.8888888888888888}",-0.5787240180548001,-0.4937753550539271,-0.4808890408449503,-0.5023998910344092,-0.49940303704565814,-0.4849968984716396,-0.44438108048298786,-0.4864987401366143,-0.48888675892502487,-0.5450022469271415,-0.5004957066977153,0.03500664538478116,7,0.6726190476190477,0.7938988095238095,0.7931547619047619,0.7894345238095238,0.7730654761904763,0.8005952380952381,0.8385416666666666,0.7849702380952381,0.7787948131197558,0.7269260106788711,0.7752000585703389,0.043009175459192014,61
46,0.30259017944335936,0.028371911545342604,0.19557766914367675,0.02075588372997116,0.3593813663804626,0.6666666666666666,"{'logistic_regression__C': 0.3593813663804626, 'logistic_regression__l1_ratio': 0.6666666666666666}",-0.5810164111597395,-0.4936957170991366,-0.48083512813354173,-0.5052800336786676,-0.4945047892156637,-0.48688106575566586,-0.4436791694204138,-0.48317660746063257,-0.4887945888573929,-0.5470963700359756,-0.5004959880816829,0.03605150408520001,8,0.6733630952380953,0.7946428571428572,0.7938988095238095,0.7864583333333334,0.7752976190476191,0.7961309523809523,0.8370535714285715,0.7886904761904762,0.7772692601067888,0.7307398932112892,0.7753544867603793,0.042014153838015225,60
47,0.2891263484954834,0.028540221659895882,0.18630411624908447,0.011379787863477337,0.3593813663804626,0.7777777777777777,"{'logistic_regression__C': 0.3593813663804626, 'logistic_regression__l1_ratio': 0.7777777777777777}",-0.5797054807765363,-0.4937445104443068,-0.4809723341626636,-0.5042838190408482,-0.4972013517061685,-0.48614438006572014,-0.4443302031770264,-0.485019562502651,-0.48871048155034036,-0.5459178286511548,-0.5006029952077417,0.03539507394088562,9,0.6770833333333333,0.7953869047619048,0.7938988095238095,0.7879464285714285,0.7738095238095238,0.7998511904761904,0.8377976190476191,0.7842261904761905,0.7780320366132724,0.7284515636918383,0.775648360030511,0.04165031023043985,59
40,0.28424127101898194,0.01322338343796734,0.18690116405487062,0.011400277377744463,0.3593813663804626,0.0,"{'logistic_regression__C': 0.3593813663804626, 'logistic_regression__l1_ratio': 0.0}",-0.5860613442970303,-0.4951091769579934,-0.49333602769312224,-0.5088733429089813,-0.47751560821865946,-0.4925217787699676,-0.4423229010576487,-0.4758541850028927,-0.4903292991222747,-0.5452698937881015,-0.5007193557816672,0.037633058174955825,10,0.6837797619047619,0.796875,0.7849702380952381,0.78125,0.8028273809523809,0.7946428571428572,0.8385416666666666,0.8050595238095237,0.7719298245614035,0.7376048817696415,0.7797481134902473,0.04027631311352613,2
