,feature,feature_transformed,coef,importance_transformed,importance
0,CHK_ACCT,CHK_ACCT_0,0.760198179201236,0.21839345889206027,0.621048844880693
1,CHK_ACCT,CHK_ACCT_1,0.2253188289702433,0.0641736347436489,0.621048844880693
2,CHK_ACCT,CHK_ACCT_2,-0.01731331855201961,0.0013834571374947643,0.621048844880693
3,CHK_ACCT,CHK_ACCT_3,-0.9740692694750966,0.3370982941074891,0.621048844880693
6,HISTORY,HISTORY_1,0.3927264981601556,0.026316735967736662,0.3589118810177412
9,HISTORY,HISTORY_4,-0.8382402855968915,0.25003457264841034,0.3589118810177412
7,HISTORY,HISTORY_2,0.1077027474452066,0.038717387521331234,0.3589118810177412
8,HISTORY,HISTORY_3,-0.24587468404198534,0.027632893485149065,0.3589118810177412
5,HISTORY,HISTORY_0,0.2921373389792761,0.01621029139511386,0.3589118810177412
4,DURATION,DURATION,0.5007164857084628,0.2967169693822095,0.2967169693822095
17,SAV_ACCT,SAV_ACCT_0,0.4391294567742823,0.15260504567525465,0.2856993380736263
18,SAV_ACCT,SAV_ACCT_1,0.20187441162318015,0.027701213581166083,0.2856993380736263
20,SAV_ACCT,SAV_ACCT_3,-0.32871038090157584,0.019329190249034785,0.2856993380736263
21,SAV_ACCT,SAV_ACCT_4,-0.3831555947706532,0.08606388856817077,0.2856993380736263
19,SAV_ACCT,SAV_ACCT_2,0.0,0.0,0.2856993380736263
26,EMPLOYMENT,EMPLOYMENT_4,-0.09445763875456532,0.025160520737983378,0.20676772601101376
22,EMPLOYMENT,EMPLOYMENT_0,0.027420857563948624,0.002234769138199228,0.20676772601101376
23,EMPLOYMENT,EMPLOYMENT_1,0.4887523853535715,0.10023411031760646,0.20676772601101376
24,EMPLOYMENT,EMPLOYMENT_2,0.0,0.0,0.20676772601101376
25,EMPLOYMENT,EMPLOYMENT_3,-0.369049823421717,0.07913832581722469,0.20676772601101376
35,PRESENT_RESIDENT,PRESENT_RESIDENT_3,-0.0855869617378682,0.015768497830943983,0.168504777390628
33,PRESENT_RESIDENT,PRESENT_RESIDENT_1,-0.19711980560749634,0.032215538520032824,0.168504777390628
36,PRESENT_RESIDENT,PRESENT_RESIDENT_4,0.0,0.0,0.168504777390628
34,PRESENT_RESIDENT,PRESENT_RESIDENT_2,0.3925637299757708,0.12052074103965119,0.168504777390628
43,NUM_CREDITS,NUM_CREDITS,0.2319832659532798,0.160908470984009,0.160908470984009
10,NEW_CAR,NEW_CAR,0.5461592704963705,0.14343743949034818,0.14343743949034818
40,OTHER_INSTALL,OTHER_INSTALL,0.5787101188878395,0.12608486032504387,0.12608486032504387
27,INSTALL_RATE,INSTALL_RATE,0.16603019348962755,0.10984187817080367,0.10984187817080367
29,MALE_SINGLE,MALE_SINGLE,-0.221759010512254,0.07842696585290325,0.07842696585290325
11,USED_CAR,USED_CAR,-0.5780522317352075,0.07684187142693068,0.07684187142693068
41,RENT,RENT,0.3185418412745072,0.0653270633881092,0.0653270633881092
37,REAL_ESTATE,REAL_ESTATE,-0.22254812915033179,0.0646542649061856,0.0646542649061856
38,PROP_UNKN_NONE,PROP_UNKN_NONE,0.29458033312046783,0.05575254339707701,0.05575254339707701
13,RADIO/TV,RADIO/TV,-0.16553195679048724,0.04899785803333636,0.04899785803333636
39,AGE,AGE,-0.07748819189935663,0.04701050428922819,0.04701050428922819
49,TELEPHONE,TELEPHONE,-0.11647388560915188,0.04013165181602996,0.04013165181602996
32,GUARANTOR,GUARANTOR,-0.545713029142116,0.03922612186913696,0.03922612186913696
44,JOB,JOB_0,0.02741036416195533,0.0007763247017557787,0.032152815517306955
47,JOB,JOB_3,0.05169655198197971,0.008655081156065789,0.032152815517306955
46,JOB,JOB_2,-0.031120126493166086,0.01028042068006649,0.032152815517306955
45,JOB,JOB_1,-0.053809925945886426,0.012440988979418897,0.032152815517306955
31,CO-APPLICANT,CO-APPLICANT,0.4385412805074863,0.027233213705874112,0.027233213705874112
50,FOREIGN,FOREIGN,-0.46800054266663443,0.024409050781836923,0.024409050781836923
28,MALE_DIV,MALE_DIV,0.31595474941378937,0.019620645979357938,0.019620645979357938
48,NUM_DEPENDENTS,NUM_DEPENDENTS,0.03288374194640779,0.01725324008502044,0.01725324008502044
14,EDUCATION,EDUCATION,0.2390941466774866,0.015631478820021815,0.015631478820021815
12,FURNITURE,FURNITURE,-0.035380315771340196,0.00717149455254442,0.00717149455254442
30,MALE_MAR_WID,MALE_MAR_WID,-0.008062462676282179,0.0010016417769585313,0.0010016417769585313
42,OWN_RES,OWN_RES,0.0,0.0,0.0
16,AMOUNT,AMOUNT,0.0,0.0,0.0
15,RETRAINING,RETRAINING,0.0,0.0,0.0
